model_name,size,seed,quant,rep,accuracy,f1,throughput,latency,gpu_peak_mem_mb,cpu_rss_mb,param_count,param_mem_mb,vm_instance
hpieris/VibeLlama-1b-seed-42,1,42.0,4bit,1,0.937786351579455,0.9378313253012048,11.609058283557234,0.0861396312753786,1102.0,1803.49609375,750979072,971.62890625,eval_01
hpieris/VibeLlama-1b-seed-123,1,123.0,4bit,1,0.939233180612491,0.9393939393939394,11.728777056525042,0.0852603809570813,1114.0,2151.41796875,750979072,971.62890625,eval_01
hpieris/VibeLlama-1b-seed-456,1,456.0,4bit,1,0.9344104171690378,0.9342995169082126,12.235009342978664,0.0817326715466607,1114.0,2302.6640625,750979072,971.62890625,eval_01
hpieris/VibeLlama-1b-seed-789,1,789.0,4bit,1,0.9368217988907644,0.9367760617760618,12.326942200568991,0.0811231190776445,1114.0,2317.7421875,750979072,971.62890625,eval_01
hpieris/VibeLlama-1b-seed-555,1,555.0,4bit,1,0.9373040752351096,0.9374699374699376,12.52523520509576,0.0798388200800541,1114.0,2286.38671875,750979072,971.62890625,eval_01
hpieris/VibeLlama-3b-seed-42,3,42.0,4bit,1,0.9520135037376416,0.9519903498190592,7.392890576074139,0.1352650887646482,2304.0,2304.29296875,1808051200,2113.333984375,eval_01
hpieris/VibeLlama-3b-seed-123,3,123.0,4bit,1,0.9539426091150228,0.9540754989180092,7.398612442334706,0.1351604787781585,2304.0,2333.2109375,1808051200,2113.333984375,eval_01
hpieris/VibeLlama-3b-seed-456,3,456.0,4bit,1,0.951048951048951,0.9510253317249698,7.40052169830219,0.1351256088107163,2304.0,2484.7109375,1808051200,2113.333984375,eval_01
hpieris/VibeLlama-3b-seed-789,3,789.0,4bit,1,0.9503255365324332,0.9505045651129264,7.384351061219599,0.1354215139163278,2304.0,3111.05859375,1808051200,2113.333984375,eval_01
hpieris/VibeLlama-3b-seed-555,3,555.0,4bit,1,0.9515312273932964,0.951624548736462,7.38664661143553,0.1353794289348924,2304.0,3570.01171875,1808051200,2113.333984375,eval_01
hpieris/VibeLlama-11b-seed-42,11,42.0,4bit,1,0.9578008198697854,0.9576578756351318,6.563184900762446,0.1523650506759043,6644.0,3297.328125,5421635600,6197.199249267578,eval_01
